Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:34 pm	1.048	0.10	0.10
10/07/2025 03:09:34 pm	1.052	0.19	0.10
10/07/2025 03:09:34 pm	1.056	0.14	0.14
10/07/2025 03:09:34 pm	1.060	0.19	0.14
10/07/2025 03:09:34 pm	1.064	0.05	0.10
10/07/2025 03:09:34 pm	1.068	0.10	0.14
10/07/2025 03:09:34 pm	1.072	0.14	0.10
10/07/2025 03:09:34 pm	1.076	0.10	0.05
10/07/2025 03:09:34 pm	1.080	0.10	0.14
10/07/2025 03:09:34 pm	1.084	0.05	0.10
10/07/2025 03:09:34 pm	1.088	0.05	0.05
10/07/2025 03:09:34 pm	1.092	0.05	0.10
10/07/2025 03:09:34 pm	1.096	-0.05	0.10
10/07/2025 03:09:34 pm	1.100	0.05	0.10
10/07/2025 03:09:34 pm	1.104	0.14	0.10
10/07/2025 03:09:34 pm	1.108	0.10	0.05
10/07/2025 03:09:34 pm	1.112	0.10	0.14
10/07/2025 03:09:34 pm	1.116	0.10	0.00
10/07/2025 03:09:34 pm	1.120	0.05	-0.19
10/07/2025 03:09:34 pm	1.124	0.10	-0.14
10/07/2025 03:09:34 pm	1.128	0.10	-0.10
10/07/2025 03:09:34 pm	1.132	0.05	0.00
10/07/2025 03:09:34 pm	1.136	0.00	-0.10
10/07/2025 03:09:34 pm	1.140	0.05	0.05
10/07/2025 03:09:34 pm	1.144	0.05	0.05
10/07/2025 03:09:34 pm	1.148	0.10	0.05
10/07/2025 03:09:34 pm	1.152	0.10	0.19
10/07/2025 03:09:34 pm	1.156	0.05	0.19
10/07/2025 03:09:34 pm	1.160	0.00	0.19
10/07/2025 03:09:34 pm	1.164	0.10	0.14
10/07/2025 03:09:34 pm	1.168	0.14	0.19
10/07/2025 03:09:34 pm	1.172	0.10	0.19
10/07/2025 03:09:34 pm	1.176	0.05	0.24
10/07/2025 03:09:34 pm	1.180	0.10	0.24
10/07/2025 03:09:34 pm	1.184	0.10	0.10
10/07/2025 03:09:34 pm	1.188	0.14	0.19
10/07/2025 03:09:34 pm	1.192	0.14	0.19
10/07/2025 03:09:34 pm	1.196	0.10	0.19
10/07/2025 03:09:34 pm	1.200	0.10	0.19
10/07/2025 03:09:34 pm	1.204	0.10	0.19
10/07/2025 03:09:34 pm	1.208	0.10	0.19
10/07/2025 03:09:34 pm	1.212	0.10	0.14
10/07/2025 03:09:34 pm	1.216	0.10	0.14
10/07/2025 03:09:34 pm	1.220	0.14	0.19
10/07/2025 03:09:34 pm	1.224	0.14	0.14
10/07/2025 03:09:34 pm	1.228	0.14	0.10
10/07/2025 03:09:34 pm	1.232	0.00	0.10
10/07/2025 03:09:34 pm	1.236	0.10	0.10
10/07/2025 03:09:34 pm	1.240	0.05	0.10
10/07/2025 03:09:34 pm	1.244	0.00	0.10
10/07/2025 03:09:34 pm	1.248	0.10	0.14
10/07/2025 03:09:34 pm	1.252	0.14	0.14
10/07/2025 03:09:34 pm	1.256	0.10	0.10
10/07/2025 03:09:34 pm	1.260	0.10	0.14
10/07/2025 03:09:34 pm	1.264	0.10	0.10
10/07/2025 03:09:34 pm	1.268	0.10	0.19
10/07/2025 03:09:34 pm	1.272	0.10	0.19
10/07/2025 03:09:34 pm	1.276	0.14	0.29
10/07/2025 03:09:34 pm	1.280	0.10	0.24
10/07/2025 03:09:34 pm	1.284	0.05	0.19
10/07/2025 03:09:34 pm	1.288	0.10	0.19
10/07/2025 03:09:34 pm	1.292	0.05	-0.10
10/07/2025 03:09:34 pm	1.296	0.10	0.05
10/07/2025 03:09:34 pm	1.300	0.00	0.00
10/07/2025 03:09:34 pm	1.304	0.00	0.24
10/07/2025 03:09:34 pm	1.308	0.10	0.19
10/07/2025 03:09:34 pm	1.312	-0.10	0.00
10/07/2025 03:09:34 pm	1.316	0.05	0.19
10/07/2025 03:09:34 pm	1.320	0.10	0.14
10/07/2025 03:09:34 pm	1.324	0.10	0.10
10/07/2025 03:09:34 pm	1.328	0.19	0.14
10/07/2025 03:09:34 pm	1.332	0.00	0.10
10/07/2025 03:09:34 pm	1.336	0.14	0.10
10/07/2025 03:09:34 pm	1.340	0.10	0.05
10/07/2025 03:09:34 pm	1.344	0.05	0.10
10/07/2025 03:09:34 pm	1.348	0.10	0.14
10/07/2025 03:09:34 pm	1.352	0.05	0.14
10/07/2025 03:09:34 pm	1.356	0.10	0.19
10/07/2025 03:09:34 pm	1.360	0.19	0.19
10/07/2025 03:09:34 pm	1.364	0.10	0.10
10/07/2025 03:09:34 pm	1.368	0.24	0.19
10/07/2025 03:09:34 pm	1.372	0.00	0.14
